"IndividualId","Time [min]","Organism|Lung|Interstitial|Raltegravir|Concentration [µmol/l]"
4,42,4.055631
4,45,4.15801
4,48,4.218083
4,51,4.240919
4,54,4.231741
4,57,4.195632
4,60,4.137353
4,63,4.061234
4,66,3.971139
4,69,3.870435
4,72,3.76201
4,75,3.648302
4,78,3.531343
4,81,3.412805
4,84,3.294046
4,87,3.176155
4,90,3.05999
4,93,2.94622
4,96,2.835344
4,99,2.727729
4,102,2.623634
4,105,2.523226
4,108,2.426603
4,111,2.3338
4,114,2.244806
4,117,2.159575
4,120,2.078032
4,135,1.721841
4,150,1.439707
4,165,1.215722
4,180,1.0365
4,195,0.891669
4,210,0.7734389
4,225,0.6760021
4,240,0.5950044
4,255,0.5270866
4,270,0.4697045
4,285,0.4209193
4,300,0.3791944
4,315,0.343306
4,330,0.3122677
4,345,0.2852802
4,360,0.2616924
4,375,0.2409717
4,390,0.2226817
4,405,0.2064614
4,420,0.1920106
4,435,0.1790811
4,450,0.167466
4,465,0.1569923
4,480,0.1475144
4,495,0.1389096
4,510,0.1310744
4,525,0.1239207
4,540,0.1173732
4,555,0.1113669
4,570,0.1058461
4,585,0.100763
4,600,0.0960756
4,615,0.09174726
4,630,0.08774552
4,645,0.08404181
4,660,0.08061081
4,675,0.07742986
4,690,0.07447858
4,705,0.07173861
4,720,0.06919334
4,735,0.06682769
4,750,0.06462791
4,765,0.06258135
4,780,0.06067644
4,795,0.05890254
4,810,0.05724984
4,825,0.05570925
4,840,0.05427236
4,855,0.05293138
4,870,0.05167903
4,885,0.0505086
4,900,0.04941381
4,915,0.04838885
4,930,0.04742829
4,945,0.04652707
4,960,0.04568049
4,975,0.04488415
4,990,0.04413398
4,1005,0.04342617
4,1020,0.04275719
4,1035,0.04212376
4,1050,0.04152283
4,1065,0.04095154
4,1080,0.04040727
4,1095,0.03988759
4,1110,0.03939023
4,1125,0.0389131
4,1140,0.03845428
4,1155,0.03801197
4,1170,0.03758454
4,1185,0.03717049
4,1200,0.03676842
4,1215,0.03637706
4,1230,0.03599524
4,1245,0.03562191
4,1260,0.0352561
4,1275,0.03489691
4,1290,0.03454356
4,1305,0.03419533
4,1320,0.03385155
4,1335,0.03351164
4,1350,0.03317509
4,1365,0.03284142
4,1380,0.03251022
4,1395,0.03218112
4,1410,0.0318538
4,1425,0.03152798
4,1440,0.03120343
5,0,0
5,3,0.08499995
5,6,0.42598
5,9,0.9324312
5,12,1.525674
5,15,2.139225
5,18,2.726492
5,21,3.258156
5,24,3.717713
5,27,4.098201
5,30,4.399289
5,33,4.62512
5,36,4.782592
5,39,4.880039
5,42,4.926319
5,45,4.930031
5,48,4.899115
5,51,4.840695
5,54,4.760943
5,57,4.665076
5,60,4.557353
5,63,4.441135
5,66,4.319347
5,69,4.194323
5,72,4.067894
5,75,3.941486
5,78,3.816197
5,81,3.692866
5,84,3.572118
5,87,3.454411
5,90,3.340068
5,93,3.229298
5,96,3.122227
5,99,3.018919
5,102,2.919386
5,105,2.823603
5,108,2.731511
5,111,2.643027
5,114,2.55805
5,117,2.47647
5,120,2.39817
5,135,2.05154
5,150,1.768667
5,165,1.536311
5,180,1.34394
5,195,1.183462
5,210,1.04871
5,225,0.934949
5,240,0.838498
5,255,0.7561169
5,270,0.6847993
5,285,0.6230083
5,300,0.5694054
5,315,0.5228488
5,330,0.4823688
5,345,0.4471355
5,360,0.416438
5,375,0.3896675
5,390,0.3663013
5,405,0.3458896
5,420,0.3280449
5,435,0.3124328
5,450,0.2987644
5,465,0.2867894
5,480,0.2762911
5,495,0.2670812
5,510,0.258996
5,525,0.251893
5,540,0.2456481
5,555,0.2401141
5,570,0.2349951
5,585,0.2302848
5,600,0.2259742
5,615,0.2220409
5,630,0.2184567
5,645,0.2151913
5,660,0.2122146
5,675,0.2094972
5,690,0.2070115
5,705,0.2047314
5,720,0.2026331
5,735,0.2006944
5,750,0.198895
5,765,0.1972153
5,780,0.1951513
5,795,0.1926383
5,810,0.1898704
5,825,0.1869605
5,840,0.1839826
5,855,0.1809854
5,870,0.1780021
5,885,0.1750553
5,900,0.1721603
5,915,0.1693265
5,930,0.1665596
5,945,0.1638628
5,960,0.1612375
5,975,0.1586832
5,990,0.1558019
5,1005,0.1521726
5,1020,0.1481029
5,1035,0.143763
5,1050,0.139271
5,1065,0.134711
5,1080,0.1301431
5,1095,0.1256109
5,1110,0.1211466
5,1125,0.116775
5,1140,0.1125139
5,1155,0.1083759
5,1170,0.1043698
5,1185,0.1005011
5,1200,0.09677268
5,1215,0.09318586
5,1230,0.08974027
5,1245,0.08643466
5,1260,0.08326672
5,1275,0.08023342
5,1290,0.07733113
5,1305,0.07455572
5,1320,0.07190286
5,1335,0.06936802
5,1350,0.06694663
5,1365,0.06463403
5,1380,0.06242559
5,1395,0.06031667
5,1410,0.05830274
5,1425,0.05637934
5,1440,0.05454216
6,0,0
6,3,0.130092
6,6,0.5898634
6,9,1.268253
6,12,2.050223
6,15,2.822546
6,18,3.504665
6,21,4.053179
6,24,4.455727
6,27,4.721222
6,30,4.870071
6,33,4.926497
6,36,4.9138
6,39,4.851943
6,42,4.756899
6,45,4.640821
6,48,4.512323
6,51,4.377669
6,54,4.24128
6,57,4.106065
6,60,3.973883
6,63,3.845862
6,66,3.722632
6,69,3.604496
6,72,3.491535
6,75,3.383685
6,78,3.280796
6,81,3.182667
6,84,3.089067
6,87,2.999754
6,90,2.914482
6,93,2.833012
6,96,2.755112
6,99,2.680564
6,102,2.609161
6,105,2.54071
6,108,2.475032
6,111,2.411958
6,114,2.351336
6,117,2.293022
6,120,2.236884
6,135,1.98489
6,150,1.772514
6,165,1.591434
6,180,1.435806
6,195,1.300698
6,210,1.18183
6,225,1.077149
6,240,0.9848561
6,255,0.9034181
6,270,0.8315189
6,285,0.7680137
6,300,0.7119037
6,315,0.6623142
6,330,0.6184773
6,345,0.5797182
6,360,0.5454431
6,375,0.5151292
6,390,0.488316
6,405,0.4645976
6,420,0.4436163
6,435,0.4250562
6,450,0.4086388
6,465,0.3941174
6,480,0.3812744
6,495,0.3699166
6,510,0.3598731
6,525,0.3509921
6,540,0.3431385
6,555,0.3360522
6,570,0.3295158
6,585,0.323537
6,600,0.3180873
6,615,0.3131291
6,630,0.3086211
6,645,0.3045217
6,660,0.30079
6,675,0.2973872
6,690,0.2942767
6,705,0.2914241
6,720,0.2887978
6,735,0.2863688
6,750,0.2841101
6,765,0.2819972
6,780,0.2800079
6,795,0.2779408
6,810,0.2753123
6,825,0.2723339
6,840,0.26913
6,855,0.2657824
6,870,0.2623474
6,885,0.2588651
6,900,0.2553642
6,915,0.2518655
6,930,0.2483838
6,945,0.2449302
6,960,0.2415123
6,975,0.2381357
6,990,0.2348039
6,1005,0.2315191
6,1020,0.2282822
6,1035,0.2250936
6,1050,0.2219529
6,1065,0.2188596
6,1080,0.2158127
6,1095,0.212811
6,1110,0.2098531
6,1125,0.2069374
6,1140,0.2040626
6,1155,0.2012272
6,1170,0.1984298
6,1185,0.1955176
6,1200,0.1917532
6,1215,0.1873948
6,1230,0.1826335
6,1245,0.1776028
6,1260,0.1724
6,1275,0.1670989
6,1290,0.1617556
6,1305,0.156414
6,1320,0.1511085
6,1335,0.1458667
6,1350,0.1407109
6,1365,0.1356588
6,1380,0.130724
6,1395,0.1259169
6,1410,0.1212455
6,1425,0.1167149
6,1440,0.1123291
7,0,0
7,3,0.1529306
7,6,0.7160255
7,9,1.481334
7,12,2.310005
7,15,3.089639
7,18,3.756361
7,21,4.284993
7,24,4.674846
7,27,4.938873
7,30,5.09611
7,33,5.166777
7,36,5.169716
7,39,5.121391
7,42,5.035371
7,45,4.922455
7,48,4.791089
7,51,4.647762
7,54,4.497396
7,57,4.343692
7,60,4.189393
7,63,4.036506
7,66,3.886475
7,69,3.740317
7,72,3.598722
7,75,3.462132
7,78,3.330802
7,81,3.204848
7,84,3.084284
7,87,2.969052
7,90,2.859033
7,93,2.754071
7,96,2.653984
7,99,2.558573
7,102,2.467635
7,105,2.380959
7,108,2.298335
7,111,2.219555
7,114,2.144417
7,117,2.072725
7,120,2.004294
7,135,1.705129
7,150,1.464488
7,165,1.268344
7,180,1.106521
7,195,0.9716153
7,210,0.8581659
7,225,0.7620744
7,240,0.6802042
7,255,0.6100857
7,270,0.5497295
7,285,0.4976006
7,300,0.4524396
7,315,0.413198
7,330,0.3790007
7,345,0.3491212
7,360,0.3229426
7,375,0.29994
7,390,0.2796676
7,405,0.2617449
7,420,0.245846
7,435,0.2316922
7,450,0.2190441
7,465,0.2076962
7,480,0.1974722
7,495,0.1882205
7,510,0.179811
7,525,0.172132
7,540,0.1650877
7,555,0.158596
7,570,0.1525864
7,585,0.1469988
7,600,0.1417817
7,615,0.136891
7,630,0.1322891
7,645,0.1279441
7,660,0.1238284
7,675,0.1199189
7,690,0.1161955
7,705,0.1126414
7,720,0.1092418
7,735,0.1059845
7,750,0.1028587
7,765,0.09985527
7,780,0.09696621
7,795,0.09418464
7,810,0.09150448
7,825,0.08892041
7,840,0.08642774
7,855,0.08402222
7,870,0.08170006
7,885,0.07945777
7,900,0.07729219
7,915,0.07520034
7,930,0.07317947
7,945,0.07122698
7,960,0.06934041
7,975,0.0675174
7,990,0.0657557
7,1005,0.06405316
7,1020,0.06240766
7,1035,0.06081719
7,1050,0.05927978
7,1065,0.05779352
7,1080,0.05635658
7,1095,0.05496712
7,1110,0.05362342
7,1125,0.05232377
7,1140,0.05106651
7,1155,0.04985004
7,1170,0.0486728
7,1185,0.04753329
7,1200,0.04643004
7,1215,0.04536163
7,1230,0.04432671
7,1245,0.04332394
7,1260,0.04235207
7,1275,0.04140986
7,1290,0.04049613
7,1305,0.03960974
7,1320,0.03874961
7,1335,0.03791468
7,1350,0.03710396
7,1365,0.03631647
7,1380,0.03555129
7,1395,0.03480754
7,1410,0.03408436
7,1425,0.03338096
7,1440,0.03269656
8,0,0
8,3,0.07668842
8,6,0.4240229
8,9,0.9703067
8,12,1.671538
8,15,2.466721
8,18,3.28484
8,21,4.063901
8,24,4.759124
8,27,5.344118
8,30,5.808651
8,33,6.154959
8,36,6.393454
8,39,6.538984
8,42,6.607772
8,45,6.615425
8,48,6.575823
8,51,6.500733
8,54,6.399727
8,57,6.280375
8,60,6.148562
8,63,6.008811
8,66,5.864523
8,69,5.718271
8,72,5.57198
8,75,5.427069
8,78,5.284552
8,81,5.145144
8,84,5.009337
8,87,4.877459
8,90,4.749695
8,93,4.62613
8,96,4.506772
8,99,4.391579
8,102,4.280469
8,105,4.173332
8,108,4.070037
8,111,3.970444
8,114,3.874406
8,117,3.781771
8,120,3.692391
8,135,3.289265
8,150,2.947432
8,165,2.653938
8,180,2.399143
8,195,2.175913
8,210,1.97885
8,225,1.803841
8,240,1.647746
8,255,1.508034
8,270,1.38262
8,285,1.269775
8,300,1.168034
8,315,1.076139
8,330,0.9930023
8,345,0.9176785
8,360,0.8493405
8,375,0.7872602
8,390,0.7307954
8,405,0.6793798
8,420,0.632511
8,435,0.5897426
8,450,0.5506771
8,465,0.5149605
8,480,0.4822762
8,495,0.452341
8,510,0.424901
8,525,0.3997282
8,540,0.3766176
8,555,0.3553843
8,570,0.3358616
